race	Freq	ethinicity
AMERICAN INDIAN/ALASKA NATIVE	198	AMERICAN INDIAN
ASIAN	1096	ASIAN
ASIAN - ASIAN INDIAN	248	ASIAN
ASIAN - CHINESE	1064	ASIAN
ASIAN - KOREAN	73	ASIAN
ASIAN - SOUTH EAST ASIAN	408	ASIAN
BLACK/AFRICAN	431	BLACK/AFRICAN
BLACK/AFRICAN AMERICAN	8689	BLACK/AFRICAN
BLACK/CAPE VERDEAN	656	BLACK/AFRICAN
BLACK/CARIBBEAN ISLAND	622	BLACK/AFRICAN
HISPANIC OR LATINO	783	HISPANIC OR LATINO
HISPANIC/LATINO - CENTRAL AMERICAN	73	HISPANIC OR LATINO
HISPANIC/LATINO - COLUMBIAN	102	HISPANIC OR LATINO
HISPANIC/LATINO - CUBAN	100	HISPANIC OR LATINO
HISPANIC/LATINO - DOMINICAN	747	HISPANIC OR LATINO
HISPANIC/LATINO - GUATEMALAN	227	HISPANIC OR LATINO
HISPANIC/LATINO - HONDURAN	88	HISPANIC OR LATINO
HISPANIC/LATINO - MEXICAN	88	HISPANIC OR LATINO
HISPANIC/LATINO - PUERTO RICAN	1215	HISPANIC OR LATINO
HISPANIC/LATINO - SALVADORAN	174	HISPANIC OR LATINO
MULTIPLE RACE/ETHNICITY	74	MULTIPLE RACE/ETHNICITY
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER	133	NATIVE HAWAIIAN
OTHER	3135	NA
PATIENT DECLINED TO ANSWER	515	NA
PORTUGUESE	425	WHITE
SOUTH AMERICAN	104	SOUTH AMERICAN
UNABLE TO OBTAIN	1881	NA
UNKNOWN	8461	NA
WHITE	58945	WHITE
WHITE - BRAZILIAN	221	WHITE
WHITE - EASTERN EUROPEAN	272	WHITE
WHITE - OTHER EUROPEAN	2313	WHITE
WHITE - RUSSIAN	980	WHITE
